CALENDAR_MONTH_END_DATE,APC_Finished_Consultant,APC_FCEs_with_a_procedure,APC_Percent_FCEs_with_procedure,APC_Ordinary_Episodes,APC_Day_Case_Episodes,APC_Day_Case_Episodes_with_proc,APC_Percent_Day_Cases_with_proc,APC_Finished_Admission_Episodes,APC_Emergency,Outpatient_Total_Appointments,Outpatient_Attended_Appointments,Outpatient_Percent_Attended,Outpatient_DNA_Appointment,Outpatient_Percent_DNA,Outpatient_Follow_Up_Attendance,Outpatient_Attendance_Type_1,Outpatient_Attendance_Type_2
10-Jul,1479767,879609,0.59,989773,489994,461591,0.94,1279436,442710,7509248,6024397,0.8,583212,0.1,2.238327,1860209,4163756
10-Jun,1461048,869145,0.59,963056,497992,468720,0.94,1262533,434881,7740434,6187189,0.8,615727,0.1,2.2299314,1915441,4271302
10-May,1406440,815297,0.58,958697,447743,422056,0.94,1215792,439003,6945884,5589873,0.8,536493,0.1,2.2571951,1715989,3873322
10-Apr,1398301,811754,0.58,945377,452924,426511,0.94,1202367,434087,7039207,5625951,0.8,540752,0.1,2.3203278,1694283,3931292
10-Mar,1529173,900418,0.59,1007044,522129,490230,0.94,1324210,462302,7906687,6386367,0.8,601720,0.1,2.2789995,1944674,4431911
10-Feb,1340187,789248,0.59,889667,450520,423435,0.94,1159027,404443,6847549,5517135,0.8,526523,0.1,2.2816481,1678797,3830424
10-Jan,1352103,773074,0.57,924962,427141,400988,0.94,1162060,426812,6848628,5235358,0.8,625192,0.1,2.2429845,1612214,3616171
9-Dec,1404121,788726,0.56,974834,429287,402932,0.94,1203280,457548,6620292,5219020,0.8,548430,0.1,2.2033134,1626946,3584672
9-Nov,1423402,825971,0.58,953699,469703,440965,0.94,1232036,435556,7215993,5842119,0.8,552890,0.1,2.2411867,1799610,4033262
9-Oct,1467075,851327,0.58,990168,476907,446699,0.94,1269820,450788,7270313,5851855,0.8,567014,0.1,2.2340034,1806692,4036156
9-Sep,1403787,824350,0.59,931739,472048,442141,0.94,1219601,423836,7402957,5924923,0.8,594872,0.1,2.2172168,1838398,4076127
9-Aug,1309130,758870,0.58,892757,416373,390123,0.94,1135483,402495,6308804,5053890,0.8,502740,0.1,2.1915525,1581269,3465434
9-Jul,1449530,855223,0.59,967120,482410,452481,0.94,1257071,431470,7346584,5893611,0.8,579305,0.1,2.2006151,1838670,4046205
9-Jun,1420719,832967,0.59,945977,474742,445037,0.94,1230138,428076,7378823,5954518,0.8,578406,0.1,2.1819937,1868499,4077053
9-May,1347020,769303,0.57,928782,418238,392035,0.94,1166533,426819,6337533,5117063,0.8,492001,0.1,2.210556,1591553,3518217
9-Apr,1359949,778107,0.57,924558,435391,408150,0.94,1178453,427742,6714295,5418178,0.8,521165,0.1,2.2508673,1664282,3746078
9-Mar,1445767,823573,0.57,970438,475329,440909,0.93,1261183,452359,6816974,5554413,0.8,525038,0.1,2.2028268,1733923,3819532
9-Feb,1274640,732197,0.57,861392,413248,384199,0.93,1108613,392630,5955659,4689794,0.8,494579,0.1,2.2391038,1447254,3240552
9-Jan,1361110,772928,0.57,918007,443103,411803,0.93,1179299,423455,6431522,5184452,0.8,529216,0.1,2.2680341,1585716,3596458
8-Dec,1351365,736589,0.55,943939,407426,378177,0.93,1165806,446748,5873865,4691664,0.8,484396,0.1,2.1876699,1471099,3218279
8-Nov,1338239,764077,0.57,906484,431755,401806,0.93,1170731,414040,6124884,4996065,0.8,476027,0.1,2.2359436,1543623,3451454
8-Oct,1431636,831792,0.58,960575,471061,438848,0.93,1249211,433123,6738132,5466323,0.8,535584,0.1,2.226193,1693996,3771162
8-Sep,1355022,782815,0.58,911906,443116,411893,0.93,1183126,410364,6492571,5254169,0.8,526745,0.1,2.2023475,1640381,3612689
8-Aug,1273247,720602,0.57,883137,390110,362303,0.93,1110498,397801,5479146,4429787,0.8,443090,0.1,2.2125787,1378120,3049199
8-Jul,1400417,818239,0.58,939690,460727,428203,0.93,1226136,418532,6588573,5356906,0.8,522465,0.1,2.2310338,1656965,3696745
8-Jun,1318079,759548,0.58,892728,425351,395277,0.93,1153605,402066,6152033,5015809,0.8,494439,0.1,2.2341075,1549989,3462842
8-May,1328020,752822,0.57,915756,412264,382482,0.93,1160362,413109,5813629,4736639,0.8,467489,0.1,2.27206,1446791,3287196
8-Apr,1354952,779239,0.58,907927,447025,414110,0.93,1184075,406405,6386505,5231205,0.8,494612,0.1,2.2942418,1587035,3641042
8-Mar,1281801,702191,0.55,890136,391665,359197,0.92,1125123,405868,5250825,4300343,0.8,426003,0.1,2.2815491,1308127,2984556
8-Feb,1297408,745803,0.57,872450,424958,391896,0.92,1140086,383747,5637434,4664936,0.8,444651,0.1,2.2936207,1413439,3241893
8-Jan,1333602,754163,0.57,900553,433049,399632,0.92,1168168,404245,6127600,5007974,0.8,526154,0.1,2.3221326,1504573,3493818
7-Dec,1197814,638292,0.53,858365,339449,311532,0.92,1046550,398205,4687837,3804210,0.8,396635,0.1,2.2428864,1171062,2626559
7-Nov,1324595,757527,0.57,895422,429173,396175,0.92,1166019,398381,5934982,4892107,0.8,479582,0.1,2.2710356,1492996,3390647
7-Oct,1354103,769356,0.57,919701,434402,399532,0.92,1190762,410475,6144081,5018526,0.8,522083,0.1,2.2682995,1533201,3477759
7-Sep,1225860,691203,0.56,851954,373906,345563,0.92,1079019,376896,5438116,4401026,0.8,460482,0.1,2.2454151,1353967,3040218
7-Aug,1274667,719457,0.56,884214,390453,360565,0.92,1116986,391334,5475792,4437888,0.8,459439,0.1,2.2568716,1360489,3070449
7-Jul,1301280,732105,0.56,898108,403172,371585,0.92,1141788,397923,5743307,4657427,0.8,476312,0.1,2.2761468,1419227,3230369
7-Jun,1266654,715102,0.56,876009,390645,359944,0.92,1111356,390411,5497138,4482970,0.8,465544,0.1,2.2845553,1362691,3113143
7-May,1307117,730827,0.56,906009,401108,367953,0.92,1147940,407946,5614329,4587402,0.8,469044,0.1,2.3103084,1383498,3196307
7-Apr,1194041,650418,0.54,839651,354390,324717,0.92,1045931,387887,5098043,4160949,0.8,427315,0.1,2.3710692,1232231,2921705
